吃瓜	吃瓜 [吃瓜]
星星眼	星星眼 🤩
哇	哇 [哇] 🤩 wow~⊙o⊙
思考	思考 🤔 🤨 🥴 🧐 🫤
懷疑	懷疑 🤔 🤨 🥴 🧐 🫤
醉	醉 🥴 （〃｀3′〃）
喝醉	喝醉 🥴 （〃｀3′〃）
無語	無語 (눈_눈) 😒 😐 😑 😶 🤐 🙃 🫢 🫥
隱藏	隱藏 🫥
捂嘴	捂嘴 🫢
冷漠	冷漠 😶
厭惡	厭惡 🙄 🙃
討厭	討厭 🙃 🙄 ヽ（≧□≦）ノ ＼(゜ロ＼)(／ロ゜)／ (ノω<。)ノ))☆.。
白眼	白眼 🙄 [翻白眼]
傻笑	傻笑 😏
偷笑	偷笑 😏
冷笑	冷笑 😏 （￣ー￣）
壞笑	壞笑 😏 (^～^)
得意	得意 😏
堅持	堅持 😣
悔恨	悔恨 😣
搖頭	搖頭 🫨 🙂‍↔️ 🙂‍↕️
點頭	點頭 🙂‍↕️
無助	無助 😣 😫 😩
難受	難受 😣 😫 😩
傷心	傷心 😥 😔 😫 😩 ❤️‍🩹 🫥 ☹ (•̥́ˍ•̀ू) (；′⌒`) (´-ι_-｀) (｡•́︿•̀｡) (︶^︶) ᵕ᷄≀̠˘᷅
難過	難過 😔 😥 😫 😩 ❤️‍🩹 🫥 ☹ （；´д｀）ゞ
弱小	弱小 🫥
閉嘴	閉嘴 🤐 🤭 🫢 🙊 🤫 (⊙x⊙;)
住口	住口 🤐 🤭 🫢 🙊
秘密	秘密 🤐 🤭 🫢 🙊
安靜	安靜 😯 🤐 🤫 🤭 🫢 🙊
哦	哦 😯 (⊙o⊙)… ´_>` ｍ(o・ω・o)ｍ
累	累 😫 😩 🙀 (ρ_・).。
疲倦	疲倦 😫 😩 🙀 (ρ_・).。
安慰	安慰 😌 (´･･)ﾉ(._.`)
滿意	滿意 😌 （´v｀）
放鬆	放鬆 😌
安逸	安逸 😌
調皮	調皮 😛 😜 😝
吐舌	吐舌 😛 😜 😝
戲弄	戲弄 😛 😜 😝
口水	口水 🤤 （¯﹃¯）
饞	饞 🤤
煩	煩 😒 🤯
不屑	不屑 😒 🫤 (￣_,￣)
疑惑	疑惑 😕 😖 🥴 🤔 🤨 ❓ ❔
困惑	困惑 😕 😖 🥴 🤔 🤨 ❓ ❔
不解	不解 😕 😖 🥴 🤔 🤨 ❓ ❔
什麼	什麼 🥴 🤔 😕 😖 (´◔‸◔`)？ Σ(っ°Д°;)っ？？？ (ﾟДﾟ≡ﾟДﾟ)？？？ ლ(°Д°ლ)
垃圾	垃圾 🙃 🚮 🚯
辣雞	辣雞 🙃 🚮 🚯
見錢眼開	見錢眼開 🤑
拜金	拜金 🤑
貪	貪 🤑
融化	融化 🫠
